EVO Year + Series,Game,Tournament Round,Format,P1,P1 Score,P1 Char,P1 Team,P1 Country,P2,P2 Score,P2 Char,P2 Team,P2 Country,Winner,Special Condition
Championship 2023,Tekken 7,Grand Finals,FT3,Arslan Ash,3,Kunimitsu,Twisted Minds,PK,Ao,0,Kunimitsu,GyoGun,JP,Arslan Ash,None
Japan 2023,Tekken 7,Losers R1,FT2,Saint,1,Jack-7,None,KR,LowHigh,2,Shaheen,UYU,KR,LowHigh,None
Japan 2023,Tekken 7,Losers R1,FT2,Watanabe,2,Eliza,None,JP,Mulgold,1,Claudio,SPIRITZERO,KR,Watanabe,None
Japan 2023,Tekken 7,Losers R2,FT2,Meo-IL,2,Geese Howard,KWANGDONG FREECS,KR,LowHigh,0,Shaheen,UYU,KR,Meo-IL,None
Japan 2023,Tekken 7,Losers R2,FT2,gken,0,Josie,None,JP,Watanabe,2,Eliza,None,JP,Watanabe,None
Japan 2023,Tekken 7,Losers R3,FT2,Meo-IL,2,Geese Howard,KWANGDONG FREECS,KR,Watanabe,1,Eliza,None,JP,Meo-IL,None
Japan 2023,Tekken 7,Losers Finals,FT3,Rangchu,1,Julia,VARREL,KR,Meo-IL,3,Geese Howard,KWANGDONG FREECS,KR,Meo-IL,None
Japan 2023,Tekken 7,Semifinals,FT2,gken,0,Josie,None,JP,Rangchu,2,Julia,VARREL,KR,Rangchu,None
Japan 2023,Tekken 7,Semifinals,FT2,Meo-IL,1,Geese Howard,KWANGDONG FREECS,KR,Arslan Ash,2,Zafina,Twisted Minds/Red Bull eSports,PK,Arslan Ash,None
Japan 2023,Tekken 7,Winners Finals,FT3,Rangchu,2,Panda,VARREL,KR,Arslan Ash,3,Zafina,Twisted Minds/Red Bull eSports,PK,Arslan Ash,None
Japan 2023,Tekken 7,Grand Finals,FT3,Arslan Ash,3,Zafina,Twisted Minds/Red Bull eSports,PK,Meo-IL,0,Geese Howard,KWANGDONG FREECS,KR,Arslan Ash,None
Championship 2024,Tekken 8,Losers R1,FT2,JDCR,0,Dragunov,Karmine Corp,KR,Nobi,2,Dragunov,YAMASA,JP,Nobi,None
Championship 2024,Tekken 8,Losers R1,FT2,CBM,1,Jin Kazama,KWANGDONG FREECS,KR,Ulsan,2,Dragunov,KWANGDONG FREECS,KR,Ulsan,None
Championship 2024,Tekken 8,Losers R2,FT2,Raef,0,Jin Kazama,Dragons Esports,SA,Nobi,2,Dragunov,YAMASA,JP,Nobi,None
Championship 2024,Tekken 8,Losers R2,FT2,KEISUKE,1,Kazuya,ZETA DIVISION,JP,Ulsan,2,Dragunov,KWANGDONG FREECS,KR,Ulsan,None
Championship 2024,Tekken 8,Losers R3,FT2,Nobi,2,Dragunov,YAMASA,JP,Ulsan,0,Reina,KWANGDONG FREECS,KR,Nobi,None
Championship 2024,Tekken 8,Losers Finals,FT3,ATIF,3,Dragunov,Team Falcons,PK,Nobi,0,Dragunov,YAMASA,JP,ATIF,None
Championship 2024,Tekken 8,Semifinals,FT2,KEISUKE,0,Kazuya,ZETA DIVISION,JP,ATIF,2,Dragunov,Team Falcons,PK,ATIF,None
Championship 2024,Tekken 8,Semifinals,FT2,Arslan Ash,2,Nina,Twisted Minds/Red Bull eSports,PK,Raef,0,Jin Kazama,Dragons Esports,SA,Arslan Ash,None
Championship 2024,Tekken 8,Winners Finals,FT3,ATIF,1,Dragunov,Team Falcons,PK,Arslan Ash,3,Nina,Twisted Minds/Red Bull eSports,PK,Arslan Ash,None
Championship 2024,Tekken 8,Grand Finals,FT3,Arslan Ash,3,Nina,Twisted Minds/Red Bull eSports,PK,ATIF,2,Dragunov/Feng,Team Falcons,PK,Arslan Ash,Character Switch
Japan 2024,Tekken 8,Losers R1,FT2,double,2,Marshall Law,None,JP,Jeondding,0,Eddy Gordo,Team Vitality,KR,double,None
Japan 2024,Tekken 8,Losers R1,FT2,Tekken Master,0,Eddy Gordo,NASR eSports,BH,Mangja,2,Marshall Law,None,KR,Mangja,None
Japan 2024,Tekken 8,Losers R2,FT2,Chanel,2,Alisa,DRX,KR,double,1,Marshall Law,None,JP,Chanel,None
Japan 2024,Tekken 8,Losers R2,FT2,Infested,0,Nina,DRX,KR,Mangja,2,Marshall Law,None,KR,Mangja,None
Japan 2024,Tekken 8,Losers R3,FT2,Chanel,2,Alisa,DRX,KR,Mangja,1,Marshall Law,None,KR,Chanel,None
Japan 2024,Tekken 8,Losers Finals,FT3,LowHigh,3,Dragunov,DRX,KR,Chanel,1,Zafina/Alisa,DRX,KR,LowHigh,Character Switch
Japan 2024,Tekken 8,Semifinals,FT2,Infested,1,Nina,DRX,KR,LowHigh,2,Dragunov,DRX,KR,LowHigh,None
Japan 2024,Tekken 8,Semifinals,FT2,Chikurin,2,Lily,THY Esports,JP,Chanel,0,Alisa,DRX,KR,Chikurin,None
Japan 2024,Tekken 8,Winners Finals,FT3,LowHigh,1,Dragunov,DRX,KR,Chikurin,3,Lily,THY Esports,JP,Chikurin,None
Japan 2024,Tekken 8,Grand Finals,FT3,Chikurin,3,Lily,THY Esports,JP,LowHigh,0,Steve/Dragunov,DRX,KR,Chikurin,Character Switch
